192.168.57.3 - - [29/May/2021:15:30:44 +0000] "GET /?117 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
192.168.57.3 - - [29/May/2021:15:30:44 +0000] "GET /?1221 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:44 +0000] "GET /?1563 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:44 +0000] "GET /?373 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1868 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1815 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1940 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?692 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1473 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?860 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1287 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?127 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1223 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?909 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?826 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1435 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?55 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?469 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?923 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14"
192.168.57.3 - - [29/May/2021:15:30:45 +0000] "GET /?1850 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?418 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?737 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1272 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?314 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?536 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?234 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1524 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1407 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
192.168.57.3 - - [29/May/2021:15:30:46 +0000] "GET /?1991 HTTP/1.1" 408 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36"
